expected,predicted,edgeid,term,closests_zero,closests_one,n_zeros,n_ones,tree
1,0.7472099452111132,27,GO:0001786,29,17,1,10,PTHR10024-1
1,0.7610526642739609,45,GO:0001786,30,17,1,10,PTHR10024-1
1,0.7561352290883646,78,GO:0001786,30,17,1,10,PTHR10024-1
1,0.7522561302168796,93,GO:0001786,31,17,1,10,PTHR10024-1
1,0.7620357291497688,158,GO:0001786,31,18,1,10,PTHR10024-1
1,0.7638862090540632,202,GO:0001786,31,15,1,10,PTHR10024-1
1,0.7851970502199583,217,GO:0001786,32,15,1,10,PTHR10024-1
1,0.7309329435392161,250,GO:0001786,25,20,1,10,PTHR10024-1
0,0.8053101958887756,339,GO:0001786,NA,19,1,10,PTHR10024-1
1,0.716286547070708,378,GO:0001786,19,20,1,10,PTHR10024-1
1,0.7435353929459818,388,GO:0001786,26,21,1,10,PTHR10024-1
1,0.6265919375003274,27,GO:0005509,29,24,2,7,PTHR10024-2
1,0.6459171521158815,158,GO:0005509,31,19,2,7,PTHR10024-2
1,0.6654129848899003,198,GO:0005509,33,17,2,7,PTHR10024-2
1,0.8359937374541957,216,GO:0005509,32,2,2,7,PTHR10024-2
1,0.8392953838707093,217,GO:0005509,32,2,2,7,PTHR10024-2
1,0.5965983002820311,250,GO:0005509,25,20,2,7,PTHR10024-2
1,0.272010376891655,338,GO:0005509,2,25,2,7,PTHR10024-2
0,0.8686467945888483,339,GO:0005509,18,2,2,7,PTHR10024-2
0,0.7039111928764079,357,GO:0005509,18,18,2,7,PTHR10024-2
1,0.4275558525711082,217,GO:0005543,32,NA,1,1,PTHR10024-3
0,0.5406194823271491,339,GO:0005543,NA,32,1,1,PTHR10024-3
0,0.7944929571193169,41,GO:0005544,31,6,4,13,PTHR10024-4
1,0.5246599047920094,45,GO:0005544,6,22,4,13,PTHR10024-4
1,0.840120808681114,77,GO:0005544,24,2,4,13,PTHR10024-4
1,0.8425088739924567,78,GO:0005544,24,2,4,13,PTHR10024-4
1,0.8458851831953009,158,GO:0005544,16,2,4,13,PTHR10024-4
1,0.8337663678912296,159,GO:0005544,16,2,4,13,PTHR10024-4
0,0.7227490132792138,183,GO:0005544,29,16,4,13,PTHR10024-4
1,0.852073867021212,202,GO:0005544,16,2,4,13,PTHR10024-4
1,0.8421336322684774,203,GO:0005544,16,2,4,13,PTHR10024-4
1,0.8462130884227727,216,GO:0005544,17,2,4,13,PTHR10024-4
1,0.8518501609270256,217,GO:0005544,17,2,4,13,PTHR10024-4
1,0.6257169728867755,250,GO:0005544,18,20,4,13,PTHR10024-4
1,0.3120152097283962,338,GO:0005544,2,19,4,13,PTHR10024-4
0,0.8584316311323227,339,GO:0005544,18,2,4,13,PTHR10024-4
0,0.7133182172557101,357,GO:0005544,18,18,4,13,PTHR10024-4
1,0.6026236163133755,378,GO:0005544,19,19,4,13,PTHR10024-4
1,0.6613256955706214,388,GO:0005544,26,21,4,13,PTHR10024-4
1,0.8397595129621758,216,GO:0008021,32,2,2,6,PTHR10024-5
1,0.8466389101234059,217,GO:0008021,32,2,2,6,PTHR10024-5
1,0.6447611136089549,247,GO:0008021,24,9,2,6,PTHR10024-5
1,0.6336982547884695,250,GO:0008021,25,9,2,6,PTHR10024-5
0,0.3239197145368821,338,GO:0008021,2,18,2,6,PTHR10024-5
0,0.33523341943441576,339,GO:0008021,2,18,2,6,PTHR10024-5
1,0.5953416129651383,357,GO:0008021,18,24,2,6,PTHR10024-5
1,0.6140987224377085,388,GO:0008021,26,24,2,6,PTHR10024-5
0,0.5441850019214945,27,GO:0016079,NA,31,1,1,PTHR10024-6
1,0.4554785509320445,216,GO:0016079,31,NA,1,1,PTHR10024-6
1,0.708188490057126,41,GO:0019905,31,6,2,6,PTHR10024-7
1,0.7067392384189866,46,GO:0019905,29,6,2,6,PTHR10024-7
1,0.6157005246041011,78,GO:0019905,29,22,2,6,PTHR10024-7
1,0.5997786544257848,159,GO:0019905,16,18,2,6,PTHR10024-7
0,0.700963030942214,183,GO:0019905,29,16,2,6,PTHR10024-7
1,0.6243609780203678,203,GO:0019905,16,15,2,6,PTHR10024-7
1,0.6379329883992926,217,GO:0019905,17,15,2,6,PTHR10024-7
0,0.6967496469099289,339,GO:0019905,29,30,2,6,PTHR10024-7
1,0.6193270616119948,27,GO:0042803,17,21,1,5,PTHR10024-8
0,0.7440739956029037,45,GO:0042803,NA,17,1,5,PTHR10024-8
1,0.6432580406632341,77,GO:0042803,22,21,1,5,PTHR10024-8
1,0.5882518380781675,250,GO:0042803,25,24,1,5,PTHR10024-8
1,0.6336942891199886,339,GO:0042803,30,18,1,5,PTHR10024-8
1,0.6376935305956886,356,GO:0042803,30,18,1,5,PTHR10024-8
1,0.6145006496510312,27,GO:0046982,17,21,1,5,PTHR10024-9
0,0.7379895483333179,45,GO:0046982,NA,17,1,5,PTHR10024-9
1,0.6240600702014288,77,GO:0046982,22,21,1,5,PTHR10024-9
1,0.648941497148708,202,GO:0046982,31,15,1,5,PTHR10024-9
1,0.6776962421797611,217,GO:0046982,32,15,1,5,PTHR10024-9
1,0.6311742894867981,339,GO:0046982,30,29,1,5,PTHR10024-9
1,0.6469893686241402,29,GO:0004568,7,6,4,8,PTHR11177-1
0,0.8091555259316469,35,GO:0004568,22,5,4,8,PTHR11177-1
1,0.7471045716583172,38,GO:0004568,6,3,4,8,PTHR11177-1
1,0.7395061116926154,39,GO:0004568,5,3,4,8,PTHR11177-1
1,0.5869778664825597,60,GO:0004568,17,12,4,8,PTHR11177-1
1,0.8376246557502588,101,GO:0004568,19,2,4,8,PTHR11177-1
1,0.811454554694309,102,GO:0004568,19,2,4,8,PTHR11177-1
0,0.6006048330505869,132,GO:0004568,16,21,4,8,PTHR11177-1
0,0.6070833066908994,150,GO:0004568,14,21,4,8,PTHR11177-1
0,0.5804626126789719,172,GO:0004568,14,17,4,8,PTHR11177-1
1,0.561471976117743,318,GO:0004568,18,16,4,8,PTHR11177-1
1,0.5186476718312546,391,GO:0004568,18,16,4,8,PTHR11177-1
1,0.8315383086019873,43,GO:0006198,30,6,4,20,PTHR11347-1
1,0.8398883768186263,48,GO:0006198,28,6,4,20,PTHR11347-1
1,0.8434456379224938,59,GO:0006198,31,6,4,20,PTHR11347-1
1,0.8344508054880335,64,GO:0006198,29,6,4,20,PTHR11347-1
1,0.8434326219374643,96,GO:0006198,29,6,4,20,PTHR11347-1
1,0.8343081067474,101,GO:0006198,27,6,4,20,PTHR11347-1
1,0.7970946966052489,140,GO:0006198,29,18,4,20,PTHR11347-1
0,0.8350896608206666,223,GO:0006198,13,13,4,20,PTHR11347-1
1,0.7349812991537003,231,GO:0006198,6,6,4,20,PTHR11347-1
1,0.4937770053317762,235,GO:0006198,2,6,4,20,PTHR11347-1
0,0.9296132715880236,236,GO:0006198,13,2,4,20,PTHR11347-1
1,0.7634451501411035,256,GO:0006198,6,6,4,20,PTHR11347-1
1,0.5300930397366529,260,GO:0006198,2,6,4,20,PTHR11347-1
0,0.9262014063500927,261,GO:0006198,17,2,4,20,PTHR11347-1
1,0.7656349976410564,277,GO:0006198,6,6,4,20,PTHR11347-1
1,0.5062157841990877,281,GO:0006198,2,6,4,20,PTHR11347-1
0,0.9325278904104237,282,GO:0006198,17,2,4,20,PTHR11347-1
1,0.7906438138390219,339,GO:0006198,21,4,4,20,PTHR11347-1
1,0.7936089844588682,341,GO:0006198,21,4,4,20,PTHR11347-1
1,0.7961494686789201,465,GO:0006198,39,24,4,20,PTHR11347-1
1,0.7776550504294919,502,GO:0006198,36,21,4,20,PTHR11347-1
1,0.8483157448629038,626,GO:0006198,38,6,4,20,PTHR11347-1
1,0.9172988414108404,630,GO:0006198,36,2,4,20,PTHR11347-1
1,0.9162664958785356,631,GO:0006198,36,2,4,20,PTHR11347-1
1,0.41576174874596833,235,GO:0006939,18,NA,1,1,PTHR11347-2
0,0.565308633071589,260,GO:0006939,NA,18,1,1,PTHR11347-2
1,0.6996637740486287,47,GO:0016020,32,17,1,7,PTHR11347-3
1,0.7832261789654779,59,GO:0016020,35,6,1,7,PTHR11347-3
1,0.7793873098419059,63,GO:0016020,33,6,1,7,PTHR11347-3
0,0.7813482337476481,231,GO:0016020,NA,20,1,7,PTHR11347-3
1,0.702433336999272,260,GO:0016020,20,17,1,7,PTHR11347-3
1,0.6986528347868758,281,GO:0016020,21,17,1,7,PTHR11347-3
1,0.6924449309139736,465,GO:0016020,43,21,1,7,PTHR11347-3
1,0.698435218211367,525,GO:0016020,36,21,1,7,PTHR11347-3
1,0.8477554018611962,8,GO:0047555,21,6,1,11,PTHR11347-4
1,0.9239877372872359,12,GO:0047555,19,2,1,11,PTHR11347-4
1,0.9250605506313463,13,GO:0047555,19,2,1,11,PTHR11347-4
1,0.7964661159430569,156,GO:0047555,14,7,1,11,PTHR11347-4
1,0.7990899503148731,160,GO:0047555,15,7,1,11,PTHR11347-4
0,0.7439548485922617,339,GO:0047555,NA,9,1,11,PTHR11347-4
1,0.7704065957786531,525,GO:0047555,17,11,1,11,PTHR11347-4
1,0.7833871871327782,533,GO:0047555,27,19,1,11,PTHR11347-4
1,0.7943767246147444,550,GO:0047555,27,19,1,11,PTHR11347-4
1,0.7888638575339328,595,GO:0047555,26,18,1,11,PTHR11347-4
1,0.7831149224118227,616,GO:0047555,18,11,1,11,PTHR11347-4
1,0.5022298902566581,748,GO:0047555,9,16,1,11,PTHR11347-4
1,0.3216906982485952,614,GO:0008028,21,NA,4,1,PTHR11360-1
0,0.23725840410086552,841,GO:0008028,4,21,4,1,PTHR11360-1
0,0.23675556399738076,843,GO:0008028,4,21,4,1,PTHR11360-1
0,0.17204047800946345,859,GO:0008028,2,24,4,1,PTHR11360-1
0,0.17134948210461354,860,GO:0008028,2,24,4,1,PTHR11360-1
0,0.42847251076142445,88,GO:0001540,16,16,4,2,PTHR11738-1
1,0.24757703401069742,204,GO:0001540,8,8,4,2,PTHR11738-1
0,0.4560215531538434,217,GO:0001540,10,8,4,2,PTHR11738-1
0,0.4464743806461542,231,GO:0001540,10,8,4,2,PTHR11738-1
1,0.22641552799054482,240,GO:0001540,4,8,4,2,PTHR11738-1
0,0.600125682450559,246,GO:0001540,10,4,4,2,PTHR11738-1
