UniProtKB,go_id,p0_025,p0_500,p0_975,qualifier_binary,go_evidence_code,qualifier_proposed,opposing
Q6CG57,GO:0004017,0.936643833226251,0.971993054549267,0.987724517990825,1,"IBA,IEA,IEA,IEA",YES,FALSE
Q6P734,GO:0004867,0.918385338233595,0.965238180889481,0.982571232291199,1,"IBA,ISS,IEA,IEA,ISO,ISO",YES,FALSE
Q74ZL1,GO:0004017,0.931527757710066,0.9689994221006,0.985780001476335,1,"IEA,IEA,IBA,IEA,IEA,IEA",YES,FALSE
Q755N1,GO:0006468,0.918421157517975,0.961906217400804,0.982145180018377,1,"IEA,IEA",YES,FALSE
Q756M6,GO:0004619,0.901445256699872,0.950421378056719,0.971366935073561,1,IEA,YES,FALSE
Q75A08,GO:0003876,0.901694760411688,0.944862654760023,0.969183712232237,1,IEA,YES,FALSE
Q75A29,GO:1904659,0.927088009074222,0.957067867380907,0.977975296771676,,,YES,FALSE
Q76HM9,GO:0004415,0.0230854852884778,0.0501250864891358,0.0874017047217654,0,"ISO,ISO",NOT,TRUE
Q76HM9,GO:0004415,0.0230854852884778,0.0501250864891358,0.0874017047217654,1,"ISO,ISO,ISS",NOT,TRUE
Q7Q1R6,GO:0004017,0.902867755811077,0.953582584389348,0.978578215830317,1,IBA,YES,FALSE
Q7QIE3,GO:0007019,0.91146130341447,0.955694891063929,0.981860385987364,1,IBA,YES,FALSE
Q7S5E4,GO:0007019,0.905492348520009,0.949771277486847,0.977731846462479,1,IBA,YES,FALSE
Q7TP36,GO:0000902,0.0223859275346453,0.0489184300521856,0.085252407907775,0,"ISO,ISO",NOT,FALSE
Q8CBF3,GO:0004713,0.9015677648019,0.949201738450738,0.972229663797031,1,"IEA,IEA,ISO,IEA",YES,FALSE
Q8MIB6,GO:0045026,0.922591186246357,0.958632379687736,0.977157945824394,,,YES,FALSE
Q9DC29,GO:0005739,0.0218594073159148,0.0522651952773847,0.0977288947553238,1,"IEA,HDA,ISO,IEA,IEA",NOT,FALSE
Q9WTP6,GO:0004017,0.901120777573321,0.946570808722597,0.97093267937498,1,"IBA,IEA,IEA,ISO,ISO,IEA",YES,FALSE
Q9WTP7,GO:0004017,0.0226948753983005,0.0512895475464809,0.0970637999270162,1,"IBA,IEA,ISO",NOT,FALSE
Q9XT09,GO:0006468,0.907679515342798,0.958102939305127,0.981324643190562,1,IEA,YES,FALSE
T1EFN4,GO:0004828,0.912595313513848,0.966352654408453,0.985718740665912,1,"IBA,IEA",YES,FALSE
W4XM34,GO:0000902,0.904885643476911,0.967926280879566,0.988348600516195,,,YES,FALSE
W5M6M0,GO:0004867,0.900359514000953,0.951158206750015,0.976276612234464,1,IBA,YES,FALSE
W5MH97,GO:0043065,0.920211377986177,0.96552543781098,0.984540024733355,,,YES,FALSE
W5MJU3,GO:0004303,0.91158342322165,0.952238823118807,0.972790952111787,1,IEA,YES,FALSE
W5N9L0,GO:0004867,0.930522809017614,0.969059923666269,0.985792568561056,1,"IBA,IEA",YES,FALSE
