id,go_id,p0_025,p0_500,p0_975,Qualifier,Go_Evidence_Code,annotation
G3R8N9,GO:0045892,0.901434943918892,0.946741274914808,0.973615130743914,,,YES
G3RAX8,GO:0000902,0.0237447137275692,0.0491267006677877,0.0842795964064503,,,NOT
G3RDR3,GO:0003876,0.920272296989149,0.955836102107801,0.979093282578246,,,YES
G3RE07,GO:0004713,0.902673294971146,0.946024496300397,0.975113104056019,,,YES
G3RE27,GO:0005229,0.0251908549252176,0.0537510908528255,0.0970242377125128,,,NOT
G3REF9,GO:0019005,0.913105236360169,0.959350972733782,0.980572286331836,,,YES
G3RFB4,GO:0006198,0.919896372203541,0.961143724628309,0.982629321914875,,,YES
G3RHZ3,GO:0004867,0.924545431688384,0.962896218434965,0.979902575902708,,,YES
G3RI13,GO:0043065,0.931766796854891,0.968910126849597,0.986640749402194,,,YES
G3RKI2,GO:0005229,0.0247468712322156,0.0525891346171254,0.0954939400492623,,,NOT
G3RKX0,GO:0005229,0.0247086846425165,0.0524158345518581,0.0949423489804072,,,NOT
G3RL67,GO:0050431,0.916139273224938,0.959644912683629,0.982117813197983,,,YES
G3RMJ1,GO:0015020,0.936001773779205,0.971735867940925,0.98619127277146,,,YES
G3S0E2,GO:0005229,0.927080949860515,0.963461562316683,0.983283648082258,,,YES
G3S166,GO:0001580,0.909206525734885,0.951285787549599,0.970680395532552,,,YES
G3S166,GO:0033038,0.906508886979454,0.951490571631595,0.972949896210918,,,YES
G3S797,GO:0004713,0.901474701986384,0.945576274000128,0.974716389113643,,,YES
G3S7C3,GO:0004867,0.923328140461423,0.962343669219428,0.980006146688851,,,YES
G3SFT9,GO:0005229,0.0250725289407302,0.0538186082807284,0.0971488746306617,,,NOT
G7MLE5,GO:0004619,0.911917860937944,0.95801367838792,0.979162562937661,,,YES
H2LGV5,GO:0004303,0.908371637162271,0.950791487540359,0.974244891807055,,,YES
H2M3W5,GO:0004867,0.926106467902923,0.967649755462991,0.983734091782164,,,YES
H2PXZ8,GO:0007031,0.027683489849052,0.0555410620200126,0.0940276678023369,,,NOT
H2PY42,GO:0045892,0.90204259361046,0.947606949469341,0.975305599841822,,,YES
H2Q0S0,GO:0004571,0.923540862990138,0.964326897757266,0.984254302687507,,,YES
H2Q1T1,GO:0043149,0.0247750885025688,0.0516571623934342,0.0875936571413295,,,NOT
H2Q1Z0,GO:0006476,0.908633978202451,0.95874229255115,0.982186310153601,,,YES
H2Q206,GO:0004396,0.923645110531515,0.965079409372432,0.982943232942111,,,YES
H2Q2G4,GO:0008543,0.900638914099434,0.949380115584817,0.976896948588499,,,YES
H2Q364,GO:0003876,0.921016002449791,0.95670100584034,0.978640744946667,,,YES
H2Q3B1,GO:0005229,0.0240681674182389,0.0517531605563642,0.0903490325542721,,,NOT
H2Q3B5,GO:0005229,0.0239180176776281,0.0516843336999001,0.0902056617425271,,,NOT
H2Q4G3,GO:0004672,0.925316774003276,0.966049091739949,0.982598212982188,,,YES
H2Q5R7,GO:0005229,0.0240761556636961,0.0517112063381636,0.0902336068140123,,,NOT
H2Q5U4,GO:0060070,0.903197719814749,0.952252009992569,0.979428471925005,,,YES
H2Q5W1,GO:0005886,0.922999553859223,0.962878538218502,0.982284100517118,,,YES
H2Q6V4,GO:0005388,0.911592191904657,0.955109766760391,0.978353945305095,,,YES
H2Q6X1,GO:0001730,0.912571971263294,0.952634115443381,0.977578240034678,,,YES
H2Q7A1,GO:0008543,0.920870000124652,0.963558500263368,0.983910808086266,,,YES
H2QAR5,GO:0015280,0.931271004920404,0.967805357560136,0.987343422982678,,,YES
H2QAR6,GO:0015280,0.931271004920404,0.967805357560136,0.987343422982678,,,YES
H2QBU4,GO:0004867,0.921366097336469,0.962362287749145,0.980700819449806,,,YES
H2QFQ8,GO:0005229,0.0245221480894782,0.0525001692354061,0.0918392993682534,,,NOT
H2QHI6,GO:0060314,0.025824986471853,0.0568490542275642,0.0995741177818605,,,NOT
H2QHZ8,GO:0006888,0.902203310325208,0.957766530901979,0.98148631079977,,,YES
H2QJI9,GO:0004867,0.937570704678782,0.970249603099273,0.985183139469145,,,YES
H2QJL2,GO:0005730,0.929683943412968,0.965180247630529,0.983551208502903,,,YES
H2QJR4,GO:0005229,0.0246212730686287,0.0524681624859902,0.0914680693356525,,,NOT
H2QME1,GO:0005229,0.0246541266533826,0.0524585912816692,0.0912006490969718,,,NOT
H2QMN6,GO:0004415,0.0221768252352916,0.0509626485266653,0.0903944870913646,,,NOT
H2QNE9,GO:0004713,0.0236514428011998,0.0547773735133757,0.0928239293473791,,,NOT
H2QNP5,GO:0004867,0.931262433914617,0.968861526042351,0.984818237589643,,,YES
H2QRT0,GO:0004683,0.931566596367276,0.966002065883362,0.983922105485336,,,YES
H2QTC9,GO:0008253,0.932811850763711,0.967807924187897,0.985533080923627,,,YES
H2QUH9,GO:0004619,0.911588988753616,0.9585159135569,0.979834657586014,,,YES
H2QV47,GO:0004867,0.940486766162075,0.972256005876629,0.987043906521586,,,YES
H2QWZ2,GO:0004017,0.0188800937193232,0.0496234332291454,0.0974799285856822,,,NOT
H2QZF5,GO:0050431,0.918192895370662,0.960010769998828,0.981846954684358,,,YES
H2R0U6,GO:0015020,0.919396226988691,0.952820017935195,0.972005672744154,,,YES
H2R278,GO:0004340,0.91666562317379,0.959054788335637,0.981625046027141,,,YES
H2R546,GO:0006198,0.917369026588109,0.961629571230275,0.982136383977309,,,YES
H2R5K3,GO:0004672,0.906877012310367,0.95342343508468,0.976308647963182,,,YES
H2R8D4,GO:0005615,0.927607139904523,0.961460369031419,0.983371876484368,,,YES
H2R9D1,GO:0004713,0.90260464743077,0.947792853671579,0.975962741691646,,,YES
H2RAV8,GO:0004867,0.923195315350319,0.962906206638925,0.980840670794491,,,YES
H2RC21,GO:0004713,0.90387699662484,0.94844230325001,0.976299886999302,,,YES
H2RCU0,GO:0003677,0.0197117605408357,0.050350102660621,0.0982475351345496,,,NOT
H2REG3,GO:0043065,0.929278081676916,0.968154716627815,0.985832320379488,,,YES
H2RGF5,GO:0005229,0.0239226470420626,0.0516338711493575,0.0900619470426693,,,NOT
H2RIA4,GO:0015020,0.9543188394613,0.978356160868429,0.989637151725648,,,YES
H6QSI6,GO:0007019,0.92204192690067,0.960645521972468,0.983554125379679,,,YES
H9G4Z2,GO:0004867,0.92207216108758,0.969141913387601,0.986209091431158,,,YES
H9G6K0,GO:0004571,0.918620226474721,0.958855849481691,0.981142286853311,,,YES
